"price" "nrooms" "totsp" "livesp" "kitsp" "dist" "metrdist" "walk" "brick" "floor" "code"
"94" 97 1 55 35 6 9 10 1 0 1 4
"95" 80 1 50 34 6 12 5 0 0 0 8
"96" 100 1 58 42 5 12 10 0 1 1 8
"97" 80 1 52 36 6 10.5 15 1 1 0 7
"98" 78 1 59 42 6 12.5 10 0 0 0 2
"99" 88 1 51 35 6 10.5 3 1 0 1 7
"100" 97 1 57 42 6 13.5 5 0 1 1 1
"101" 79 1 49 33 6 14.5 10 1 0 0 3
"102" 85 1 59 44 6 9 5 0 0 1 4
"103" 87 1 55 38 5 6.5 5 1 1 1 5
"104" 88 1 61 42 6 12.5 5 1 0 1 2
"105" 83 1 58 38 6 12.5 10 1 0 0 2
"106" 85 1 60 38 6 17 7 1 0 0 2
"107" 84 1 59 45 5 10 15 1 0 1 6
"108" 85 1 57 37 5 12 7 0 0 1 8
"109" 87 1 57 45 6 12 15 1 0 1 8
"110" 84 1 60 43 6 12 10 1 0 1 5
"111" 93 1 61 43 6 14.5 7 0 0 1 2
"112" 84 1 59 38 6 7 10 1 0 1 5
"113" 105 1 60 35 8 11 5 1 1 1 8
"114" 75 1 53 35 7 11.5 5 1 1 0 6
"115" 78 1 57 37 6 13.5 10 1 0 1 6
"116" 86 1 56 42 5 6.5 5 1 1 0 5
"117" 92 1 60 41 6 14.5 7 1 0 0 2
"118" 115 1 62 38 9 17 7 1 0 0 2
"119" 83 1 61 38 6 13 10 0 0 0 5
"120" 120 1 57 43 6 8 5 1 1 0 1
"121" 86 1 61 42 6 12 7 0 1 1 5
"122" 85 1 59 40 6 10 5 0 0 1 6
"123" 84 1 60 45 6 13.5 7 0 0 1 6
"124" 90 1 55 35 6 14.5 5 0 0 1 3
"125" 87 1 61 43 6 12 15 1 0 1 7
"126" 78 1 58 44 6 7 7 1 0 0 5
"127" 87 1 58 33 5 11.5 5 1 0 1 6
"128" 80 1 56 37 6 10 1 1 0 0 6
"129" 90 1 56 40 5 12.5 5 1 1 1 3
"130" 84 1 59 46 6 10 15 1 0 1 6
"131" 129 1 59 41 6 9 5 1 1 0 3
"132" 80 1 52 34 6 17 10 1 0 0 4
"133" 86 1 56 42 5 6.5 5 1 1 0 5
"134" 77 1 56 38 6 13.5 10 0 1 0 1
"135" 77 1 50 34 6 13.5 2 1 0 1 6
"136" 89 1 60 43 6 15.5 5 1 1 1 1
"137" 89 1 55 37 6 10.5 10 1 1 1 3
"138" 84 1 59 44 6 12 10 1 0 1 5
"139" 79 1 60 44 6 15.5 15 1 0 0 1
"140" 115 1 60 39 6 4.5 10 1 0 1 8
"141" 105 1 56 43 6 3 10 1 1 1 1
"142" 85 1 58 43 5 7 10 0 0 1 4
"143" 87 1 58 40 6 6.5 5 1 0 0 2
"144" 86 1 58 38 8 11.5 7 1 0 1 6
"145" 85 1 55 42 6 14.5 5 1 1 1 3
"146" 78 1 58 37 6 12 10 0 0 1 7
"147" 85 1 60 43 6 12 5 1 0 1 5
"148" 85 1 61 45 6 13.5 15 1 0 1 6
"149" 93 1 55 39 6 8 10 1 1 0 1
"150" 99 1 62 39 8 17 10 1 0 1 2
"151" 110 1 59 38 8 14.5 5 0 0 1 3
"152" 98 1 54 36 5 3.5 12 1 1 1 7
"153" 95 1 54 38 6 10.5 5 1 0 1 7
"154" 105 1 53 39 5 3.5 7 1 1 0 7
"155" 96 1 60 38 6 12 5 0 0 1 7
"156" 81 1 53 34 6 13 15 1 0 0 5
"157" 87 1 58 37 7 13.5 15 0 0 1 1
"158" 85 1 59 38 6 13.5 10 1 0 1 6
"159" 90 1 60 43 6 13.5 5 0 0 0 6
"160" 100 1 57 40 6 8 5 1 0 1 1
"161" 120 1 60 37 8 12 8 0 0 1 1
"162" 90 1 61 45 6 13.5 15 1 0 1 6
"163" 88 1 51 34 6 14.5 10 1 0 1 3
"164" 80 1 60 44 6 13.5 5 1 0 1 6
"165" 170 1 53 33 9 3 10 1 1 1 1
"166" 113 1 54 34 11 3 10 1 0 1 1
"167" 95 1 60 44 6 12 10 1 0 0 8
"168" 82 1 59 45 6 10 7 1 1 0 6
"169" 75 1 55 36 6 14.5 7 0 1 0 2
"170" 77 1 60 44 6 13 15 1 0 0 5
"171" 108 1 58 41 6 9 3 1 1 1 4
"172" 85 1 57 42 6 7.5 15 1 1 1 8
"173" 78 1 52 34 6 13 15 1 0 1 5
"174" 86 1 55 40 5 7 2 0 0 1 4
"175" 76 1 53 39 6 12 10 1 0 1 5
"176" 110 1 60 41 6 12 10 1 0 1 8
"177" 90 1 60 43 6 12 5 0 0 1 7
"178" 77 1 61 45 6 13.5 5 0 0 0 6
"179" 75 1 51 36 6 17 5 0 0 1 2
"180" 89 1 60 44 6 10.5 3 1 0 1 7
"181" 90 1 55 37 6 7.5 7 0 0 1 8
"182" 85 1 57 37 5 12 7 0 0 1 8
"183" 87 1 56 35 6 12 7 1 0 1 8
"184" 80 1 61 44 7 12 5 0 0 1 7
"185" 89 1 60 45 6 13.5 10 0 0 1 1
"186" 90 1 57 40 5 13.5 10 1 1 1 1
"187" 97 1 55 35 6 9 7 0 0 1 4
"188" 94 1 61 38 9 12 5 0 0 1 7
"189" 73 1 53 34 6 7.5 3 1 1 0 3
"190" 90 1 60 40 7 13.5 9 1 0 1 6
"191" 79 1 54 35 5 12.5 10 0 1 1 3
"192" 82 1 61 40 6 13.5 10 0 0 1 1
"193" 97 1 56 43 5 6.5 7 1 1 1 5
"194" 92 1 59 41 6 11 10 1 1 1 8
"195" 80 1 58 38 7 13.5 5 0 0 1 6
"196" 96 1 60 45 6 15.5 5 1 0 1 1
"197" 112 1 60 39 6 3.5 3 1 0 1 7
"198" 94 1 60 44 6 15.5 5 1 0 1 1
"199" 77 1 60 43 6 12 6 0 0 1 7
"200" 85 1 58 45 6 10 3 1 0 1 6
"201" 78 1 52 35 6 12 10 1 0 1 7
"202" 85 1 59 42 6 10.5 7 0 0 0 3
"203" 80 1 58 38 6 7 10 1 0 1 5
"204" 73 1 51 34 6 12 7 1 0 0 5
"205" 94 1 61 44 6 12.5 3 1 0 1 2
"206" 130 1 56 40 5 3.5 10 1 1 0 7
"207" 100 1 57 43 5 11.5 10 1 1 1 6
"208" 87 1 61 43 6 12 15 1 0 1 7
"209" 94 1 62 38 8 17 3 1 0 1 4
"210" 115 1 61 42 5 3.5 10 1 1 0 7
"211" 85 1 60 43 10 13 7 0 0 0 5
"212" 87 1 56 37 6 7 7 0 0 1 4
"213" 87 1 58 45 5 10 3 1 0 1 6
"214" 92 1 60 44 6 12.5 15 1 0 0 2
"215" 95 1 61 43 6 14.5 5 1 0 1 2
"216" 96 1 60 45 6 12 10 1 0 1 7
"217" 93 1 59 38 6 13.5 7 1 0 0 6
"218" 82 1 54 35 6 9 10 1 1 0 4
"219" 98 1 60 44 6 14.5 15 1 0 1 3
"220" 73 1 51 34 6 13.5 10 1 0 1 6
"221" 89 1 59 38 6 12 15 1 0 1 7
"222" 93 1 59 44 5 14.5 10 1 0 1 3
"223" 87 1 58 38 6 12 15 1 0 0 8
"224" 85 1 61 45 6 13.5 15 1 0 1 6
"225" 80 1 56 37 6 12 10 1 1 0 8
"226" 87 1 59 44 6 13.5 10 1 0 1 1
"227" 83 1 55 38 7 11 10 1 1 0 8
"228" 100 1 60 39 9 15.5 10 1 0 1 1
"229" 80 1 59 39 6 8 15 0 0 1 1
"230" 74 1 51 35 6 13.5 10 1 0 0 6
"231" 130 1 60 42 7 9 10 1 1 0 3
"232" 102 1 58 41 6 11 5 1 1 1 8
"233" 89 1 58 42 6 9 10 0 0 0 4
"234" 75 1 51 34 6 14.5 7 0 0 1 3
"235" 92 1 60 45 6 15.5 5 1 0 1 1
"236" 105 1 55 40 6 9 7 0 0 1 4
"237" 80 1 50 34 6 11.5 10 1 0 1 6
"238" 81 1 54 36 6 10 10 1 0 1 6
"239" 77 1 59 38 6 12 10 0 1 0 7
"240" 87 1 60 43 6 12 5 0 0 1 7
"241" 79 1 57 43 6 10.5 10 0 1 1 3
"242" 155 1 60 40 8 7.5 5 1 1 1 3
"243" 83 1 52 34 6 14.5 10 0 0 0 3
"244" 78 1 56 39 6 12 5 1 1 0 7
"245" 86 1 58 38 6 11.5 7 1 0 1 6
"246" 107 1 57 41 6 12.5 10 1 1 1 3
"247" 80 1 60 45 6 13.5 5 0 0 1 6
"248" 93 1 58 42 6 12 5 0 1 0 7
"249" 82 1 60 41 6 11.5 5 1 1 1 6
"250" 87 1 60 43 6 13.5 10 0 0 1 6
"251" 99 1 60 44 6 12.5 10 1 0 1 2
"252" 93 1 59 39 6 15.5 10 1 0 1 1
"253" 83 1 56 37 6 10 15 1 0 1 6
"254" 110 1 57 40 5 7.5 7 1 1 0 3
"255" 115 1 57 38 8 12 5 1 0 1 7
"256" 75 1 55 39 6 10 10 1 0 0 6
"257" 92 1 57 40 6 12.5 2 1 1 1 3
"258" 92 1 61 44 6 12.5 5 1 0 1 2
"259" 128 1 57 38 6 9 5 1 1 1 3
"260" 92 1 58 42 6 13.5 7 1 1 1 1
"261" 85 1 56 42 6 12 10 1 1 1 8
"262" 99 1 58 39 7 7.5 5 1 0 1 3
"263" 105 1 61 38 8 17 5 1 0 0 2
"264" 85 1 60 38 6 17 7 1 0 0 2
"265" 98 1 58 42 6 12 10 1 1 1 8
"266" 80 1 58 43 5 7 7 1 0 1 5
"267" 91 1 60 45 6 10.5 5 0 0 1 3
"268" 108 1 56 41 6 3.5 5 1 1 0 7
"269" 78 1 51 33 6 7 7 1 0 1 5
"270" 82 1 60 42 6 12.5 10 1 0 0 2
"271" 105 1 53 36 5 7.5 10 1 1 0 3
"272" 83 1 55 37 6 12 5 1 1 1 7
"273" 85 1 61 45 6 13.5 10 1 0 1 6
"274" 105 1 61 40 8 12 3 1 0 1 5
"275" 79 1 51 34 6 13.5 10 1 0 1 6
"276" 99 1 58 44 6 10.5 10 1 0 1 3
"277" 80 1 52 35 6 14.5 12 0 0 1 3
"278" 72 1 60 42 6 11.5 10 0 1 0 6
"279" 87 1 56 37 6 7 7 0 1 1 4
"280" 79 1 52 37 6 12 7 0 0 0 7
"281" 88 1 60 42 6 11 10 1 1 1 5
"282" 85 1 57 40 6 14.5 10 0 1 1 2
"283" 83 1 60 44 6 17 10 1 0 1 4
"284" 113 1 54 34 6 3 10 1 0 1 1
"285" 71 1 54 34 6 7 7 0 0 0 5
"286" 78 1 51 34 6 13 5 0 0 1 5
"287" 78 1 55 37 6 10.5 7 1 0 1 7
"288" 81 1 56 41 5 6 10 0 1 1 6
"289" 70 1 52 34 6 12 10 1 0 0 7
"290" 85 1 58 39 7 7 5 1 0 1 5
"291" 85 1 60 43 7 12 5 0 0 1 7
"292" 97 1 58 42 5 12.5 15 1 1 1 3
"293" 88 1 60 44 6 17 7 0 0 1 4
"294" 110 1 60 40 7 9 7 0 1 1 3
"295" 94 1 61 44 6 12.5 10 1 0 1 2
"296" 80 1 54 35 6 12 8 1 1 0 7
"297" 75 1 56 38 6 10 7 1 0 1 6
"298" 95 1 61 38 8 11.5 7 1 0 1 6
"299" 86 1 58 44 6 17 5 1 0 1 4
"300" 90 1 55 36 6 12.5 10 1 0 1 3
"301" 85 1 58 41 7 14.5 10 0 0 1 2
"302" 85 1 58 37 6 13.5 15 0 0 1 1
"303" 105 1 53 36 5 7.5 10 1 1 0 3
"304" 81 1 59 42 6 12 10 1 1 1 1
"305" 95 1 62 43 7 12 7 1 0 1 5
"306" 86 1 56 34 7 7.5 10 0 0 0 8
"307" 85 1 55 40 6 12.5 7 1 1 0 8
"308" 79 1 58 41 6 12.5 5 0 0 0 3
"309" 86 1 58 43 6 17 5 1 0 1 4
"310" 99 1 62 45 6 13.5 10 1 0 1 6
"311" 73 1 54 35 5 10.5 3 1 1 0 7
"312" 93 1 57 43 5 12.5 15 1 1 1 3
"313" 77 1 51 34 6 7 7 1 0 1 5
"314" 96 1 60 43 6 13.5 10 1 0 1 6
"315" 96 1 60 45 6 10.5 15 1 0 1 3
"316" 96 1 60 45 6 12 5 0 0 1 7
"317" 82 1 55 36 6 10 7 1 0 0 6
"318" 83 1 50 34 6 15.5 5 0 0 1 1
"319" 107 1 56 32 5 7.5 7 1 1 0 3
"320" 88 1 60 44 6 12 10 0 0 0 7
"321" 89 1 60 38 6 13.5 7 1 0 1 6
"322" 84 1 60 45 6 13.5 7 0 0 1 6
"323" 70 1 58 41 6 14.5 10 0 1 1 3
"324" 91 1 60 44 6 14.5 7 1 0 1 2
"325" 83 1 60 38 9 12 10 1 0 0 5
"326" 85 1 57 39 6 11.5 7 1 0 0 6
"327" 85 1 58 40 5 14.5 10 0 1 1 2
"328" 99 1 57 42 6 6.5 7 1 1 1 5
"329" 87 1 58 44 5 10.5 5 1 0 1 7
"330" 105 1 54 34 6 3.5 7 1 0 1 7
"331" 130 1 56 42 7 14.5 3 1 1 1 3
"332" 85 1 55 35 6 12 10 1 0 1 8
"333" 85 1 60 40 7 12 5 0 0 1 7
"334" 101 1 55 38 6 7 10 1 0 0 4
"335" 80 1 51 34 6 13.5 15 0 0 1 1
"336" 90 1 59 45 6 12 5 0 0 0 8
"337" 71 1 49 34 6 10 10 1 0 1 6
"338" 85 1 60 43 6 12 5 1 1 1 7
"339" 89 1 51 34 6 13.5 10 0 0 1 1
"340" 74 1 53 34 6 10.5 7 0 1 0 3
"341" 93 1 60 43 6 17 15 0 0 1 2
"342" 110 1 60 37 9 12.5 7 1 0 1 2
"343" 86 1 53 36 7 11.5 5 1 0 0 6
"344" 85 1 50 35 6 11 8 0 0 1 8
"345" 77 1 55 38 6 7.5 10 1 0 0 8
"346" 83 1 53 34 6 14.5 8 0 0 0 3
"347" 84 1 58 43 6 14.5 5 0 0 1 3
"348" 80 1 56 44 6 11 8 1 1 0 5
"349" 90 1 58 42 6 10.5 15 1 1 1 3
"350" 125 1 60 41 6 3 7 1 0 1 1
"351" 94 1 56 33 8 11.5 3 1 0 1 6
"352" 90 1 56 42 6 12.5 7 1 1 1 3
"353" 90 1 60 40 8 13.5 5 1 0 0 6
"354" 110 1 57 37 7 9 1 1 1 1 4
"355" 90 1 54 42 6 17 10 1 0 1 4
"356" 101 1 55 39 6 4.5 12 1 1 0 8
"357" 96 1 60 45 6 12 5 0 0 1 7
"358" 114 1 59 39 6 3.5 5 1 0 1 7
"359" 96 1 60 40 8 12.5 10 1 0 1 2
"360" 87 1 60 43 6 13.5 10 0 0 1 1
"361" 105 1 58 41 6 7.5 10 1 1 1 3
"362" 92 1 60 40 6 12 10 0 0 1 7
"363" 75 1 55 36 6 11.5 10 1 1 1 6
"364" 85 1 61 43 6 12 15 1 0 1 7
"365" 80 1 54 37 6 12 7 1 1 0 7
"366" 79 1 51 34 6 12 7 0 0 1 7
"367" 75 1 53 35 7 11.5 5 1 1 0 6
"368" 82 1 60 44 6 14.5 7 0 0 1 3
"369" 108 1 58 40 6 10.5 7 1 1 1 3
"370" 83 1 51 34 6 15.5 3 1 0 1 1
"371" 98 1 61 38 8 12 15 1 0 1 1
"372" 90 1 57 42 6 11 5 1 1 1 5
"373" 99 1 60 39 8 12 5 0 0 1 1
"374" 75 1 55 36 6 13.5 15 0 1 0 1
"375" 77 1 58 42 6 12.5 5 0 0 0 3
"376" 102 1 58 40 6 10.5 5 1 1 0 3
"377" 93 1 59 38 6 13.5 10 1 1 0 6
"378" 80 1 60 44 6 13.5 10 0 0 1 6
"379" 68 1 57 37 6 13.5 15 1 0 0 6
"380" 95 1 60 43 6 17 10 1 0 1 4
"381" 108 1 57 40 6 9 3 1 1 1 4
"382" 86 1 61 43 6 13.5 15 1 0 1 6
"383" 101 1 62 43 6 12 15 1 0 1 7
"384" 75 1 59 43 5 13.5 10 0 0 0 6
"385" 77 1 58 37 5 7 12 0 0 1 5
"386" 85 1 59 40 5 12.5 5 0 0 1 3
"387" 79 1 56 37 6 11.5 5 1 0 1 6
"388" 100 1 58 30 6 17 1 1 0 1 4
"389" 93 1 57 40 6 3.5 7 1 1 1 7
"390" 98 1 60 47 6 14.5 7 1 1 0 3
"391" 85 1 59 44 6 7 1 1 0 1 5
"392" 73 1 50 35 7 17 5 1 0 0 4
"393" 84 1 57 42 6 7.5 5 0 1 1 8
"394" 102 1 60 40 8 8 5 0 1 1 1
"395" 87 1 55 36 6 3.5 10 1 1 1 7
"396" 92 1 60 44 6 15.5 3 1 0 1 1
"397" 115 1 56 39 5 4.5 15 1 1 1 8
"398" 85 1 55 38 6 10.5 5 0 1 0 3
"399" 84 1 62 44 7 14.5 10 0 0 1 3
"400" 123 1 58 40 7 13.5 5 0 1 1 1
"401" 95 1 60 43 6 9 5 0 0 1 4
"402" 95 1 62 38 8 12.5 3 1 0 0 2
"403" 86 1 59 42 5 11.5 10 1 0 1 6
"404" 92 1 60 44 6 12 5 0 0 1 7
"405" 160 1 57 42 8 3.5 5 1 1 1 7
"406" 115 1 62 38 8 11.5 5 1 0 1 6
"407" 150 1 54 39 6 7 3 1 1 1 4
"408" 95 1 60 37 8 12.5 15 1 0 1 2
"409" 80 1 58 43 6 11.5 10 1 0 1 6
"410" 83 1 60 42 6 12 7 0 0 1 8
"411" 93 1 57 43 6 10.5 15 0 0 1 3
"412" 78 1 55 37 6 11.5 2 1 1 1 6
"413" 98 1 60 43 7 13.5 10 1 0 1 6
"414" 100 1 60 39 6 17 5 1 0 1 4
"415" 93 1 62 38 7 17 3 1 0 1 4
"416" 95 1 61 43 6 12 15 1 0 0 7
"417" 83 1 57 44 6 17 10 0 0 1 4
"418" 82 1 62 32 7 6 5 1 1 0 6
"419" 93 1 61 38 8 13 7 0 0 1 5
"420" 85 1 58 43 5 7 5 0 0 1 4
"421" 120 1 59 45 6 3 3 1 0 1 1
"422" 82 1 62 44 6 12.5 10 0 0 0 2
"423" 70 1 50 32 5 11.5 7 0 1 0 6
"424" 115 1 59 39 6 10 10 1 0 0 6
"425" 110 1 60 44 6 7 5 0 0 1 4
"426" 83 1 49 34 6 15.5 5 1 0 1 1
"427" 95 1 62 45 7 12.5 10 1 1 1 2
"428" 91 1 61 44 7 13.5 5 1 0 1 6
"429" 82 1 62 44 6 13.5 10 0 0 1 6
"430" 88 1 60 44 6 13.5 10 0 0 1 1
"431" 82 1 56 42 6 10 10 1 0 0 6
"432" 100 1 60 43 7 12.5 5 1 0 1 2
"433" 111 1 57 40 6 9 3 1 1 1 4
"434" 95 1 57 42 6 6.5 7 1 1 1 5
"435" 92 1 59 41 6 7.5 12 1 0 1 3
"436" 83 1 59 44 6 13.5 10 0 0 1 6
"437" 145 1 62 41 9 9 5 1 0 1 3
"438" 95 1 54 36 5 3.5 15 1 1 1 7
"439" 90 1 60 38 8 12 10 0 0 0 8
"440" 85 1 55 41 5 11 5 0 1 1 8
"441" 82 1 56 39 6 10 5 1 0 1 6
"442" 74 1 56 37 6 15.5 7 0 1 0 1
"443" 84 1 57 42 5 12.7 10 1 1 1 5
"444" 90 1 61 43 6 14.5 10 1 0 1 2
"445" 105 1 58 43 6 3.5 12 1 1 1 7
"446" 84 1 58 42 5 7.5 15 1 1 1 8
"447" 115 1 60 44 6 6.5 5 1 0 1 2
"448" 85 1 56 36 5 10.5 15 0 0 1 3
"449" 72 1 54 35 6 13.5 10 1 0 1 6
"450" 85 1 58 39 6 12.5 10 1 0 0 2
"451" 80 1 56 38 5 11.5 10 1 0 1 6
"452" 80 1 60 44 6 13.5 7 0 0 1 6
"453" 81 1 53 34 6 12.5 10 1 0 0 2
"454" 82 1 60 42 7 13.5 5 0 0 1 6
"455" 85 1 57 43 6 12 12 1 1 0 7
"456" 95 1 58 39 6 9 5 1 0 0 4
"457" 75 1 54 36 6 10 7 1 0 1 6
"458" 82 1 57 42 5 12.7 10 1 1 1 5
"459" 96 1 59 42 6 13.5 7 1 0 1 6
"460" 95 1 60 43 7 12.5 5 1 0 1 2
"461" 82 1 55 34 5 10.5 5 0 1 1 3
"462" 129 1 60 41 6 3 7 1 0 0 1
"463" 88 1 59 44 6 14.5 10 1 0 1 3
"464" 92 1 62 39 7 12 10 1 0 1 5
"465" 85 1 53 34 6 10.5 3 1 0 1 7
"466" 88 1 60 43 6 12.5 5 1 0 1 2
"467" 75 1 56 37 5 10 10 1 0 0 6
"468" 95 1 51 34 6 12 5 0 0 1 8
"469" 70 1 60 43 6 17 10 1 0 1 2
"470" 79 1 60 43 5 12 10 0 0 0 7
"471" 130 1 57 42 6 4.5 5 1 1 1 8
"472" 96 1 60 43 6 14.5 7 1 0 1 2
"473" 80 1 59 43 6 13.5 5 0 0 1 6
"474" 90 1 61 44 6 12 5 1 0 0 8
"475" 98 1 58 43 6 14.5 10 0 0 1 3
"476" 87 1 54 34 6 17 1 1 0 1 4
"477" 90 1 59 45 6 15.5 5 0 0 1 1
"478" 82 1 59 38 6 13.5 5 1 0 1 6
"479" 79 1 51 34 6 13.5 10 1 0 1 6
"480" 86 1 54 36 6 9 15 0 1 0 3
"481" 82 1 58 35 11 12.5 10 0 0 0 3
"482" 82 1 60 45 6 13.5 10 0 0 1 6
"483" 95 1 57 41 6 4.5 7 1 1 0 8
"484" 75 1 56 37 5 10 5 0 0 1 6
"485" 79 1 54 36 6 12.5 10 0 1 1 3
"486" 84 1 58 42 6 13 15 1 0 0 5
"487" 94 1 61 42 6 12.5 10 1 0 1 2
"488" 85 1 58 44 6 10.5 10 1 0 0 3
"489" 90 1 60 45 5 10.5 10 0 0 1 3
"490" 85 1 55 35 6 10.5 5 0 1 0 3
"491" 101 1 59 44 6 17 10 1 0 1 4
"492" 98 1 60 45 5 7.5 7 1 0 0 3
"493" 91 1 62 38 7 13.5 7 0 0 0 6
"494" 95 1 56 42 7 3.5 10 1 1 0 7
"495" 94 1 55 41 5 13.5 10 1 1 1 1
"496" 90 1 62 46 8 14.5 15 0 0 1 3
"497" 83 1 53 34 6 12.5 15 1 0 1 2
"498" 88 1 60 40 5 7 7 1 0 1 4
"499" 87 1 61 42 9 13.5 10 1 0 1 6
"500" 85 1 60 40 6 13.5 5 0 0 1 6
"501" 95 1 55 42 5 10.5 5 0 1 1 3
"502" 73 1 51 34 6 12 7 1 0 0 5
"503" 86 1 60 44 6 13.5 10 0 0 1 1
"504" 95 1 59 43 6 15.5 5 0 0 1 1
"505" 81 1 56 37 6 11.5 5 1 0 1 6
"506" 90 1 61 43 6 12.5 3 1 0 1 2
"507" 102 1 58 38 6 15.5 8 1 0 1 1
"508" 93 1 61 45 6 14.5 10 1 0 1 3
"509" 92 1 59 38 6 15.5 10 1 0 1 1
"510" 117 1 61 44 6 4.5 5 1 1 1 8
"511" 81 1 60 46 6 14.5 15 0 0 0 3
"512" 79 1 59 43 6 12 10 0 0 0 7
